산업별,2020 사업체 수,2020 종사자 수,2020 매출액,2022 사업체 수,2022 종사자수,2022 매출액
"농업, 임업 및 어업(01~03)",91,504,93468,90,327,81311
광업(05~08),10,19,7787,8,23,6694
제조업(10~34),11049,67835,22977354,11151,69175,26978420
"전기, 가스, 증기 및 공기조절 공급업(35)",390,2064,4061122,405,2008,5345041
"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",227,4142,1457946,223,4356,1564168
건설업(41~42),13025,62947,12347511,13411,60042,15539896
도매 및 소매업(45~47),45329,105502,31375003,43400,98226,35674157
운수 및 창고업(49~52),16862,34809,3388310,18358,34980,4320265
숙박 및 음식점업(55~56),23831,58359,3899598,23150,61195,5017364
정보통신업(58~63),2791,18869,4002605,3235,21072,4564157
금융 및 보험업(64~66),1732,19890,17242611,1659,19116,10490664
부동산업(68),7110,18133,5246689,7240,18164,3999168
"전문, 과학 및 기술 서비스업(70~73)",5765,55839,12837366,5826,59261,23060458
"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",4195,42851,3157106,3850,44852,3477239
교육 서비스업(85),6991,57803,3652627,7515,58902,4534957
보건업 및 사회복지 서비스업(86~87),5078,73513,4853224,5236,75912,5798948
"예술, 스포츠 및 여가관련 서비스업(90~91)",4313,11167,791319,4291,11148,867066
"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",15339,28424,2051814,15340,27350,2666904
